Operational Profile,Engine Load (%),Potencia Maxima (kw),Engines Running,Speed (kn),Draft Bow (m),Draft Stern (m),DURAÇÃO (h),MDO (m³),MDO (m³/h),Consumo Estimado (m³/h),Consumo Estimado (g/kWh),Consumo Estimado,Unnamed: 13
Transit,0.35,812.0,2.0,10.89643023,4.421,4.455,0.0238888888888888,0.018303,0.7661720930232557,0.0417576012556818,225.9805,451.961,1.2814621240059998
Eco Transit,0.27,626.4000000000001,2.0,7.54195847,4.64632268,4.42036741,0.0869444444444444,0.045982,0.5288664536741214,0.0338637093647727,237.5605,475.121,0.2635442267675888
Eco Transit,0.27,626.4000000000001,2.0,8.94127027,4.70613514,3.50305405,0.0205555555555555,0.011412,0.5551783783783784,0.0338637093647727,237.5605,475.121,1.9673772664539724
Eco Transit,0.35,812.0,2.0,8.9879503,4.62589104,3.97177419,0.0225,0.01734,0.7706666666666667,0.0417576012556818,225.9805,451.961,1.4081661623807271
Eco Transit,0.28,649.6,2.0,8.90303145,4.56447799,4.15628302,0.0883333333333333,0.051153,0.5790905660377358,0.03489090248,236.02480000000003,472.04960000000005,0.3179109244814574
Transit,0.3,696.0,2.0,10.9289548,2.492,4.0910452,0.0491666666666666,0.031007,0.6306508474576271,0.0369086159318181,233.029,466.0580000000001,0.190331729345573
Fast Transit,0.31,719.2,2.0,11.13325362,4.40178986,4.81563043,0.0766666666666666,0.052071,0.6791869565217392,0.0378999345356818,231.5689,463.1378,0.2721489017748492
Eco Transit,0.24,556.8,2.0,6.73524682,4.51823309,4.2279413,0.8091666666666667,0.37986601,0.4694533594232749,0.0307039948581818,242.3188,484.6376,0.9191715129811644
Transit,0.35,812.0,2.0,9.20013245,2.56112583,3.82415232,0.0838888888888888,0.064796,0.7724026490066226,0.0417576012556818,225.9805,451.961,0.3555527925229673
Eco Transit,0.27,626.4000000000001,2.0,7.12635099,2.53137748,4.01092715,0.0419444444444444,0.02272699,0.5418355231788079,0.0338637093647727,237.5605,475.121,0.4900217479205443
Eco Transit,0.21,487.2,2.0,6.21960355,4.66030178,4.0326568,0.0469444444444444,0.018538,0.3948923076923077,0.0274186958038636,247.3039,494.6078,0.4790536090119558
Eco Transit,0.33,765.6,2.0,8.72359514,4.22327126,4.20275709,0.0686111111111111,0.048467,0.7064016194331985,0.0398494911675,228.72430000000003,457.44860000000006,0.1778015728743269
Transit,0.34,788.8000000000001,2.0,9.184,2.533,4.467,0.0044444444444444,0.003253,0.7319249999999999,0.0408085274627272,227.33980000000005,454.6796000000001,11.54489008998687
Eco Transit,0.36,835.1999999999999,2.0,8.81951852,2.5662963,3.8837037,0.0225,0.01764901,0.7844004444444445,0.04269711168,224.64640000000003,449.29280000000006,1.4192355083939554
Transit,0.34,788.8000000000001,2.0,9.74976039,2.42733679,4.24462978,3.481388888888889,2.633703,0.7565092795021144,0.0408085274627272,227.33980000000005,454.6796000000001,0.9845052659837774
Transit,0.32,742.4,2.0,9.2589451,4.56346667,4.15227059,0.1416666666666666,0.09832301,0.6940447764705883,0.0388800932363636,230.134,460.268,0.6045677076366596
Fast Transit,0.32,742.4,2.0,11.021,4.42,4.81585714,0.0233333333333333,0.016607,0.7117285714285714,0.0388800932363636,230.134,460.268,1.3411870437986175
Eco Transit,0.22,510.4,2.0,5.92072632,2.453,4.58090526,0.0263888888888888,0.010863,0.4116505263157894,0.02852841455,245.617,491.234,1.6262003636196265
Transit,0.36,835.1999999999999,2.0,9.03,2.562,3.85,0.0091666666666666,0.00717,0.7821818181818182,0.04269711168,224.64640000000003,449.29280000000006,4.9549667615062765
Eco Transit,0.25,580.0,2.0,5.33992898,2.49065909,4.4974375,0.0977777777777777,0.046129,0.4717738636363637,0.0317706546875,240.7075,481.415,0.3112650461206614
Eco Transit,0.36,835.1999999999999,2.0,8.89056452,4.6161129,4.012,0.0344444444444444,0.02714399,0.7880513225806451,0.04269711168,224.64640000000003,449.29280000000006,0.5729858314860861
Transit,0.36,835.1999999999999,2.0,9.0084,2.42485,4.557775,0.0083333333333333,0.006655,0.7986000000000001,0.04269711168,224.64640000000003,449.29280000000006,5.415794392186326
Transit,0.32,742.4,2.0,8.993723,2.561886,4.464962,0.0130555555555555,0.009151,0.700927659574468,0.0388800932363636,230.134,460.268,3.248726175976794
Transit,0.29,672.8,2.0,9.208,4.54,3.906,0.0113888888888888,0.006662,0.5849560975609757,0.0359057382911363,234.5143,469.0286,4.389633487111432
Transit,0.35,812.0,2.0,9.0609,4.540074,3.900528,0.0388888888888888,0.030171,0.7758257142857142,0.0417576012556818,225.9805,451.961,0.3840310647867758
Eco Transit,0.35,812.0,2.0,8.96869231,4.63,4.04438462,0.0144444444444444,0.010868,0.7524,0.0417576012556818,225.9805,451.961,2.842252599897112
Eco Transit,0.36,835.1999999999999,2.0,8.93078788,4.87428788,4.69157576,0.0183333333333333,0.01486099,0.8105994545454545,0.04269711168,224.64640000000003,449.29280000000006,1.873100088217542
Eco Transit,0.31,719.2,2.0,7.538199,2.442249,4.434838,0.0447222222222222,0.029492,0.659448447204969,0.0378999345356818,231.5689,463.1378,0.285092043119552
Transit,0.32,742.4,2.0,11.003,2.621,3.872,0.0088888888888888,0.006187,0.6960375,0.0388800932363636,230.134,460.268,5.2841592429874975
Eco Transit,0.24,556.8,2.0,4.96101734,4.48963006,4.45298266,0.1441666666666666,0.064667,0.448557225433526,0.0307039948581818,242.3188,484.6376,0.5251984032322233
Eco Transit,0.24,556.8,2.0,6.5354858,2.52518956,3.96783423,0.7238888888888889,0.337711,0.4665232540291634,0.0307039948581818,242.3188,484.6376,0.9090820409812478
Eco Transit,0.36,835.1999999999999,2.0,8.88590625,2.561,3.83903125,0.0088888888888888,0.006983,0.7855875,0.04269711168,224.64640000000003,449.29280000000006,5.114436729199486
Eco Transit,0.24,556.8,2.0,7.019508,2.530409,4.381144,0.0508333333333333,0.023815,0.4684918032786885,0.0307039948581818,242.3188,484.6376,0.2892712516557556
Eco Transit,0.23,533.6,2.0,6.27201248,4.50983931,4.07266069,0.7122222222222222,0.313542,0.4402305772230889,0.0296233811902272,243.9553,487.9106,0.9055202135910746
Eco Transit,0.29,672.8,2.0,8.05830303,2.589,4.418,0.0275,0.016654,0.6055999999999999,0.0359057382911363,234.5143,469.0286,1.1559828444299487
Transit,0.35,812.0,2.0,9.32961934,2.562,3.85781571,0.0919444444444444,0.071152,0.7738586102719034,0.0417576012556818,225.9805,451.961,0.4131211876590706
Eco Transit,0.21,487.2,2.0,5.4522354,4.55947781,4.43877487,0.5947222222222223,0.212847,0.3578931340495095,0.0274186958038636,247.3039,494.6078,0.8711811968039783
Eco Transit,0.26,603.2,2.0,6.72888793,4.62252586,4.78881897,0.0966666666666666,0.04847599,0.5014757586206896,0.0328237598118181,239.1214,478.2428000000001,0.3228862409655133
Eco Transit,0.3,696.0,2.0,8.490377,2.587669,4.259987,0.5108333333333334,0.318233,0.6229683523654159,0.0369086159318181,233.029,466.0580000000001,0.8840201489731795
Eco Transit,0.37,858.4,2.0,8.81432432,4.62712355,4.02188031,0.0719444444444444,0.057458,0.7986440154440154,0.0436274578693181,223.3375,446.675,0.240706988246751
Eco Transit,0.36,835.1999999999999,2.0,8.83244444,2.564,3.83392063,0.0174999999999999,0.01371699,0.7838280000000001,0.04269711168,224.64640000000003,449.29280000000006,2.112717271063113
Eco Transit,0.19,440.8,2.0,6.09551351,4.601,4.0897027,0.0205555555555555,0.00709301,0.3450653513513513,0.0251534054593181,250.7533,501.5066000000001,2.5462244462249712
Eco Transit,0.33,765.6,2.0,8.79429482,2.54315936,4.22639841,0.2788888888888889,0.199985,0.7170776892430278,0.0398494911675,228.72430000000003,457.44860000000006,0.8007375994824611
Eco Transit,0.21,487.2,2.0,6.40775578,4.48516172,4.28416172,0.0841666666666666,0.03202,0.3804356435643564,0.0274186958038636,247.3039,494.6078,0.1437009430398614
Transit,0.31,719.2,2.0,10.94554545,2.557,3.792,0.0152777777777777,0.01006799,0.6589957090909091,0.0378999345356818,231.5689,463.1378,2.764399302709064
Transit,0.36,835.1999999999999,2.0,9.04009091,4.885,4.703,0.0183333333333333,0.014752,0.8046545454545454,0.04269711168,224.64640000000003,449.29280000000006,1.8943269848156183
Transit,0.32,742.4,2.0,9.19097143,2.49222857,4.88102857,0.0291666666666666,0.020136,0.6903771428571429,0.0388800932363636,230.134,460.268,0.9308747137645828
Eco Transit,0.33,765.6,1.0,11.405,2.568,4.116,0.0038888888888888,0.001383,0.3556285714285714,0.0398494911675,228.72430000000003,457.44860000000006,27.813804170282
Eco Transit,0.27,626.4000000000001,2.0,6.92269725,2.52,4.03021101,0.0302777777777777,0.015906,0.5253357798165138,0.0338637093647727,237.5605,475.121,1.128989649489044
Eco Transit,0.36,835.1999999999999,2.0,8.48602439,2.56673171,3.8895122,0.0341666666666666,0.027201,0.7961268292682927,0.04269711168,224.64640000000003,449.29280000000006,0.5696890437851552
Transit,0.35,812.0,2.0,10.03865495,4.45526262,3.67033316,5.256944444444445,3.977467,0.7566119524438573,0.0417576012556818,225.9805,451.961,0.989501458778745
Transit,0.29,672.8,2.0,9.14147059,4.47,3.828,0.0188888888888888,0.01117099,0.5914053529411765,0.0359057382911363,234.5143,469.0286,2.2141948288501165
Eco Transit,0.28,649.6,2.0,5.28273891,4.80223601,4.20146811,0.4052777777777778,0.224947,0.5550440027416038,0.03489090248,236.02480000000003,472.04960000000005,0.8448927859451337
Eco Transit,0.34,788.8000000000001,2.0,11.047364,2.37754,4.558674,0.0030555555555555,0.002284,0.7474909090909091,0.0408085274627272,227.33980000000005,454.6796000000001,16.867131113278145
Transit,0.28,649.6,2.0,11.00004237,2.479,4.35678814,0.0327777777777777,0.018446,0.5627593220338982,0.03489090248,236.02480000000003,472.04960000000005,0.8915159102244392
Eco Transit,0.2,464.0,2.0,6.23603457,4.5268963,4.40379506,0.1125,0.03839,0.3412444444444444,0.0262938258181818,249.016,498.032,0.3150865897842715
Eco Transit,0.23,533.6,2.0,6.52566573,4.69223563,4.19858906,0.4927777777777777,0.217603,0.4415844419391206,0.0296233811902272,243.9553,487.9106,0.863865014773568
