Operational Profile,Engine Load (%),Potencia Maxima (kw),Engines Running,Speed (kn),Draft Bow (m),Draft Stern (m),DURAÇÃO (h),MDO (m³),MDO (m³/h),Consumo Estimado (m³/h),Consumo Estimado (g/kWh),Consumo Estimado,Unnamed: 13
Transit,0.37,858.4,2.0,10.98942857,4.606,4.46328571,0.0388888888888888,0.032837,0.8443799999999999,0.0436274578693181,223.3375,446.675,0.3286066896890149
Eco Transit,0.23,533.6,2.0,4.17031915,4.55702128,4.0632766,0.0391666666666666,0.016897,0.4314127659574467,0.0296233811902272,243.9553,487.9106,0.7531740066418465
Transit,0.35,812.0,2.0,9.51068,2.56522,3.88446,0.0694444444444444,0.052778,0.7600032,0.0417576012556818,225.9805,451.961,0.2088066759694983
Eco Transit,0.34,788.8000000000001,2.0,8.86434491,2.53480149,4.22824069,0.2238888888888889,0.162197,0.7244531017369727,0.0408085274627272,227.33980000000005,454.6796000000001,0.7484014657316271
Transit,0.35,812.0,2.0,9.167,4.63,4.045,0.0075,0.005628,0.7504000000000001,0.0417576012556818,225.9805,451.961,6.41961642780416
Eco Transit,0.32,742.4,2.0,8.90645178,4.2708362,4.26391413,0.2102777777777777,0.14574501,0.6931070488771467,0.0388800932363636,230.134,460.268,0.7332320795314801
Transit,0.28,649.6,2.0,10.95635484,2.58752419,4.58695968,0.0344444444444444,0.01996999,0.5797739032258065,0.03489090248,236.02480000000003,472.04960000000005,0.7471667477049315
Eco Transit,0.19,440.8,2.0,4.05760345,4.671,4.716,0.0161111111111111,0.005331,0.3308896551724138,0.0251534054593181,250.7533,501.5066000000001,3.7183277920311735
Eco Transit,0.22,510.4,2.0,5.81132245,4.63594147,3.90424001,0.9872222222222222,0.402628,0.4078392796848621,0.02852841455,245.617,491.234,0.9291444843627368
Eco Transit,0.23,533.6,2.0,5.07929607,2.39788024,3.97120825,0.4175,0.178525,0.4276047904191616,0.0296233811902272,243.9553,487.9106,0.8340659224745706
Transit,0.33,765.6,2.0,9.051,4.266,4.267,0.0077777777777777,0.005391,0.6931285714285714,0.0398494911675,228.72430000000003,457.44860000000006,6.391855159988871
Eco Transit,0.26,603.2,2.0,4.405667,4.739132,4.530608,0.01,0.005789,0.5789,0.0328237598118181,239.1214,478.2428000000001,4.670022423876004
Transit,0.32,742.4,2.0,10.9824,2.617,3.87496842,0.0263888888888888,0.018355,0.6955578947368422,0.0388800932363636,230.134,460.268,1.1182289968054286
Eco Transit,0.35,812.0,2.0,8.918035,4.542072,3.901754,0.0158333333333333,0.012321,0.7781684210526315,0.0417576012556818,225.9805,451.961,2.389140593757148
Eco Transit,0.24,556.8,2.0,4.57814829,4.52361217,3.79268441,0.2191666666666666,0.097947,0.446906463878327,0.0307039948581818,242.3188,484.6376,0.6865243972946409
Transit,0.37,858.4,2.0,10.95537705,4.57713934,4.49086066,0.0338888888888888,0.028449,0.8394786885245902,0.0436274578693181,223.3375,446.675,0.5335322109500574
Fast Transit,0.35,812.0,2.0,11.03917105,4.417,4.44402632,0.0211111111111111,0.015964,0.7561894736842104,0.0417576012556818,225.9805,451.961,1.615735483317578
Transit,0.29,672.8,2.0,10.9816875,2.494,4.162,0.0044444444444444,0.002759,0.6207750000000001,0.0359057382911363,234.5143,469.0286,12.01404069994069
Eco Transit,0.2,464.0,2.0,6.16216667,2.51548333,4.10285,0.05,0.017104,0.34208,0.0262938258181818,249.016,498.032,0.5372910324007142
Transit,0.31,719.2,2.0,9.11135533,2.40318782,3.94084264,0.1641666666666666,0.10557,0.6430659898477158,0.0378999345356818,231.5689,463.1378,0.6409971153198653
Transit,0.29,672.8,2.0,9.1586,4.506,3.83801667,0.0166666666666666,0.00986901,0.5921406,0.0359057382911363,234.5143,469.0286,2.638231017208045
Transit,0.32,742.4,2.0,9.19126606,4.27340367,4.24445413,0.1816666666666666,0.125918,0.6931266055045873,0.0388800932363636,230.134,460.268,0.6912268838739208
Transit,0.29,672.8,2.0,9.21253846,4.508,3.84173077,0.0216666666666666,0.012986,0.5993538461538461,0.0359057382911363,234.5143,469.0286,1.7649575151036785
Fast Transit,0.29,672.8,2.0,11.02043243,2.498,4.158,0.0308333333333333,0.018938,0.6142054054054055,0.0359057382911363,234.5143,469.0286,0.8959625246138117
Transit,0.31,719.2,2.0,9.08744186,2.47460465,4.703,0.0358333333333333,0.024241,0.6764930232558138,0.0378999345356818,231.5689,463.1378,0.5634641531158711
Transit,0.35,812.0,2.0,10.82581573,2.59565337,4.62986517,0.4944444444444444,0.389251,0.787249213483146,0.0417576012556818,225.9805,451.961,0.8927232010818679
